name,lat,lng,full_address,block,street,postal_code,lic_no
LAURELS FOODS SUPPLIERS PTE LTD,1.320441712,103.7789725,"2 PANDAN VALLEY, Singapore 597626",2,PANDAN VALLEY,597626,C02031B000
SHENG SIONG SUPERMARKET PTE LTD,1.427505479,103.8371253,"925 YISHUN CENTRAL 1, Singapore 760925",925,YISHUN CENTRAL 1,760925,B02038P000
SHENG SIONG SUPERMARKET PTE LTD,1.431505269,103.7735157,"301 WOODLANDS STREET 31, Singapore 730301",301,WOODLANDS STREET 31,730301,B02017C000
TEO BOBBY,1.353671028,103.8707568,"253 SERANGOON CENTRAL DRIVE, Singapore 550253",253,SERANGOON CENTRAL DRIVE,550253,SE05117K000
SHAHUL HAMEED S/O ABDUSALAM,1.34753519,103.9517028,"280 TAMPINES STREET 22, Singapore 520280",280,TAMPINES STREET 22,520280,NE10213X000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.34669905,103.7572767,"284 BUKIT BATOK EAST AVENUE 3, Singapore 650284",284,BUKIT BATOK EAST AVENUE 3,650284,SW07070J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.353231638,103.8714729,"266 SERANGOON CENTRAL DRIVE, Singapore 550266",266,SERANGOON CENTRAL DRIVE,550266,E02028L000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.305605703,103.9153761,"56 MARINE TERRACE, Singapore 440056",56,MARINE TERRACE,440056,SE09608P000
SHENG SIONG SUPERMARKET PTE LTD,1.329181056,103.8882484,"18B CIRCUIT ROAD, Singapore 372018",18B,CIRCUIT ROAD,372018,SE16233J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.436114248,103.8376052,"293 YISHUN STREET 22, Singapore 760293",293,YISHUN STREET 22,760293,B02039N000
PRIME SUPERMARKET (1996) PTE LTD,1.380790492,103.7519544,"142 TECK WHYE LANE, Singapore 680142",142,TECK WHYE LANE,680142,J02020B000
TAN CHUAN BOON,1.366209428,103.8951449,"309 HOUGANG AVENUE 5, Singapore 530309",309,HOUGANG AVENUE 5,530309,S02031V000
SHENG SIONG SUPERMARKET PTE LTD,1.321619041,103.8593827,"108 MCNAIR ROAD, Singapore 321108",108,MCNAIR ROAD,321108,CE04558K000
PRIME SUPERMARKET LIMITED,1.342017834,103.6914831,"962 JURONG WEST STREET 91, Singapore 640962",962,JURONG WEST STREET 91,640962,J02019K000
MCP FAIRMART PTE LTD,1.333753433,103.7393714,"135 JURONG GATEWAY ROAD, Singapore 600135",135,JURONG GATEWAY ROAD,600135,SW16H72K000
SHENG SIONG SUPERMARKET PTE LTD,1.331433688,103.9368654,"115 BEDOK NORTH ROAD, Singapore 460115",115,BEDOK NORTH ROAD,460115,E03034J000
HAO MART PTE. LTD.,1.324715806,103.8577529,"74 WHAMPOA DRIVE, Singapore 320074",74,WHAMPOA DRIVE,320074,CE12695A000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.247150406,103.839555,"1 COVE AVENUE, Singapore 98537",1,COVE AVENUE,98537,SW12G71E000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.262063365,103.8186256,"1 MARITIME SQUARE, Singapore 99253",1,MARITIME SQUARE,99253,C03010C000
U STARS PTE. LTD.,1.377543843,103.7497,"817 KEAT HONG LINK, Singapore 680817",817,KEAT HONG LINK,680817,SW17728C000
GURU'S MARKETING PTE. LTD.,1.319238114,103.7328825,"27 PENJURU WALK, Singapore 608538",27,PENJURU WALK,608538,SW14A98C000
ISETAN (SINGAPORE) LIMITED?,1.305809792,103.8315073,"350 ORCHARD ROAD, Singapore 238868",350,ORCHARD ROAD,238868,W02078C000
SHENG SIONG SUPERMARKET PTE LTD,1.309733314,103.7686373,"420A CLEMENTI AVENUE 1, Singapore 121420",420A,CLEMENTI AVENUE 1,121420,SW12M67E000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.301761307,103.7693694,"101 CLEMENTI ROAD, Singapore 129787",101,CLEMENTI ROAD,129787,SW12G70J000
SHENG SIONG SUPERMARKET PTE LTD,1.295319669,103.8097586,"85 DAWSON ROAD, Singapore 141085",85,DAWSON ROAD,141085,CE15J25N000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.293893588,103.8531199,"252 NORTH BRIDGE ROAD, Singapore 179103",252,NORTH BRIDGE ROAD,179103,W02080P000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.302424179,103.8346761,"391A ORCHARD ROAD, Singapore 238873",391A,ORCHARD ROAD,238873,W02071X000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.332112774,103.8573781,"260 KIM KEAT AVENUE, Singapore 310260",260,KIM KEAT AVENUE,310260,S02204N000
NTUC FAIRPRICE CO-OPERATIVE LTD,1.290909183,103.8031076,"170 STIRLING ROAD, Singapore 140170",170,STIRLING ROAD,140170,W70029L000
NTUC FAIRPRICE CO-OPERATIVE LTD,1.284998839,103.8446971,"133 NEW BRIDGE ROAD, Singapore 59413",133,NEW BRIDGE ROAD,59413,W90084A000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.317334643,103.8434632,"101 THOMSON ROAD, Singapore 307591",101,THOMSON ROAD,307591,W02065N000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.379245288,103.887832,"21 HOUGANG STREET 51, Singapore 538719",21,HOUGANG STREET 51,538719,S97166P000
TEO BOBBY,1.324760407,103.9243702,"29 CHAI CHEE AVENUE, Singapore 460029",29,CHAI CHEE AVENUE,460029,E02072C000
LOH NYEN YIU,1.302751218,103.8651636,"5001 BEACH ROAD, Singapore 199588",5001,BEACH ROAD,199588,W02081N000
ARCHANA PROVISION STORES PTE. LTD,1.319238114,103.7328825,"27 PENJURU WALK, Singapore 608538",27,PENJURU WALK,608538,SW15051V000
KINGSMART PTE. LTD.,1.316210423,103.7325272,"30 PENJURU PLACE, Singapore 608557",30,PENJURU PLACE,608557,SW07E27X000
AP HOUSE PTE. LTD.,1.278307303,103.8507952,"12 MARINA VIEW, Singapore 18961",12,MARINA VIEW,18961,CE13Z38L000
HAO MART PTE. LTD.,1.31179545,103.9368945,"54 BAYSHORE ROAD, Singapore 469979",54,BAYSHORE ROAD,469979,SE06125B000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.321447691,103.9554195,"20 EASTWOOD ROAD, Singapore 486442",20,EASTWOOD ROAD,486442,E02026P000
U STARS SUPERMARKET PTE. LTD.,1.396849794,103.8892468,"330 ANCHORVALE STREET, Singapore 540330",330,ANCHORVALE STREET,540330,CE15B61K000
U STARS SUPERMARKET PTE. LTD.,1.389770254,103.8927872,"215C COMPASSVALE DRIVE, Singapore 543215",215C,COMPASSVALE DRIVE,543215,NE17098V000
PRIME SUPERMARKET (1996) PTE LTD,1.373683929,103.871417,"542B SERANGOON NORTH AVENUE 3, Singapore 552542",542B,SERANGOON NORTH AVENUE 3,552542,CE12H94B000
SHENG SIONG SUPERMARKET PTE LTD,1.351844982,103.8360537,"200 UPPER THOMSON ROAD, Singapore 574424",200,UPPER THOMSON ROAD,574424,S02058V000
PHAN NEE INVESTMENTS (S) PTE LTD,1.44518329,103.8379632,"2C YISHUN AVENUE 7, Singapore 768930",2C,YISHUN AVENUE 7,768930,NW11577N000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.417383367,103.8329799,"201 YISHUN AVENUE 2, Singapore 769092",201,YISHUN AVENUE 2,769092,CE05039P000
